FF,stat,n,mle,stderr,mean,low,high,group
Sage 2.0.0,RMSE,1211,0.017756295236458497,0.000747257599331614,0.017706557884823157,0.016364069569498547,0.019257104901304504,All
Sage 2.0.0,MUE,1211,0.012096862582883748,0.00038654220607199684,0.012073453150865643,0.01131864944123523,0.012836296898245548,All
Sage 2.0.0,R2,1211,0.9937347244640335,0.000743873260644612,0.9937327697548723,0.9921074242602167,0.9950691305407685,All
Sage 2.0.0,rho,1211,0.9968624400909253,0.0003732046650292116,0.9968518867724079,0.9960464926598046,0.9975563994192583,All
Sage 2.2.1,RMSE,1211,0.018960228233200448,0.000692661859676561,0.01891831001133049,0.017544715633494547,0.0203847691335271,All
Sage 2.2.1,MUE,1211,0.014019199296698518,0.00036594365818275355,0.014041817388981808,0.01336329320189422,0.014766044252836239,All
Sage 2.2.1,R2,1211,0.9941473202187789,0.0007327374624687125,0.9941287123935052,0.9925617951864485,0.9954499659572608,All
Sage 2.2.1,rho,1211,0.9970693658009852,0.00037270422066114757,0.9970546320896957,0.9962565937343562,0.9977215917247055,All
smee-v2,RMSE,1211,0.018003114086341202,0.0009868867186705664,0.017937922493051872,0.01623980156184689,0.020206015083368098,All
smee-v2,MUE,1211,0.01160456231013442,0.0003964009480858725,0.011623870692755294,0.010917075941056748,0.012407078651548904,All
smee-v2,R2,1211,0.9937937730064083,0.000786945324147529,0.993786633442204,0.9921593751327646,0.9951863248806231,All
smee-v2,rho,1211,0.9968920568478854,0.0004070855965966064,0.9968497978625339,0.9960239588584768,0.9975924864847291,All
v1-k100,RMSE,1211,0.015687892947870888,0.0006287797646596462,0.015693682032481275,0.014558339970496282,0.016974773952795463,All
v1-k100,MUE,1211,0.010710599777840396,0.00033030947135983033,0.010694544637817636,0.010052267171925902,0.011360095134393611,All
v1-k100,R2,1211,0.9954839184831903,0.0005000536174698398,0.9954620782805556,0.9943288896327689,0.9963498209093977,All
v1-k100,rho,1211,0.9977394040946717,0.00025209911447633465,0.9977368235802329,0.9971904603830952,0.9981970530351035,All
v3-k100,RMSE,1211,0.014955210981479401,0.0006206863769625653,0.014896171392037994,0.013662150256576558,0.016137947010922808,All
v3-k100,MUE,1211,0.010152798243086602,0.00032467738226603425,0.010182985141364025,0.009559830471445268,0.010834359801694013,All
v3-k100,R2,1211,0.9960567996156264,0.00047177094205957303,0.996041149526331,0.9950754536083617,0.9968769665979567,All
v3-k100,rho,1211,0.9980264523626746,0.0002348822429719051,0.9980156744331389,0.9975098881209098,0.9984604836462635,All
Sage 2.0.0,RMSE,12,0.03614866864731983,0.006095686217315904,0.0354845465239363,0.022519868487995934,0.04645792600500093,"1,2 Aminoalcohol"
Sage 2.0.0,MUE,12,0.02934370826138059,0.006082405354893368,0.029375851161805813,0.017990692148834652,0.041355536676192434,"1,2 Aminoalcohol"
Sage 2.0.0,R2,12,0.7900738844189149,0.10482809533369526,0.7823676984803069,0.5354038749830091,0.9418627165818665,"1,2 Aminoalcohol"
Sage 2.0.0,rho,12,0.8888610039927024,0.05732581414693118,0.8865348422029974,0.7554377807121782,0.9754926319179527,"1,2 Aminoalcohol"
Sage 2.2.1,RMSE,12,0.03231893961290749,0.005354273443179108,0.03188338079820147,0.02094933038603036,0.04168564345036136,"1,2 Aminoalcohol"
Sage 2.2.1,MUE,12,0.026117116662523643,0.005444210229993189,0.026035104719680773,0.015480476748695867,0.03665829004337636,"1,2 Aminoalcohol"
Sage 2.2.1,R2,12,0.803836439652058,0.09707216245454803,0.7984975493956615,0.5824247787779926,0.9528462328802494,"1,2 Aminoalcohol"
Sage 2.2.1,rho,12,0.8965692609341778,0.055776666646863746,0.8948765411700814,0.7694313340831043,0.9764123272367349,"1,2 Aminoalcohol"
smee-v2,RMSE,12,0.046208347366479954,0.006373784738125259,0.045794925847175004,0.03327532886038234,0.05770671629201838,"1,2 Aminoalcohol"
smee-v2,MUE,12,0.0396803111933644,0.006604961508767503,0.03965076127307501,0.02705440328934376,0.05284868171568821,"1,2 Aminoalcohol"
smee-v2,R2,12,0.7460875745051039,0.11642752032661584,0.7402742286694111,0.49773864698226306,0.9471639790038805,"1,2 Aminoalcohol"
smee-v2,rho,12,0.8637636103154055,0.07179300841638087,0.8623303879584903,0.7140654892225108,0.9712257139855831,"1,2 Aminoalcohol"
v1-k100,RMSE,12,0.03285000310586353,0.004921668350542416,0.0325452548351323,0.02247573000834337,0.041316681349915986,"1,2 Aminoalcohol"
v1-k100,MUE,12,0.027564830264235885,0.005333284809435584,0.02767498691337409,0.01704539783028382,0.03852877628136434,"1,2 Aminoalcohol"
v1-k100,R2,12,0.7975987014504805,0.08552811642744527,0.7971331938554226,0.6185929237761562,0.9489092071616064,"1,2 Aminoalcohol"
v1-k100,rho,12,0.893083815467776,0.04977535924101651,0.894694581009617,0.7783784491002779,0.9744953809576682,"1,2 Aminoalcohol"
v3-k100,RMSE,12,0.031520029245629466,0.004886224160947302,0.03136613427429474,0.021812357924389077,0.04069741636985529,"1,2 Aminoalcohol"
v3-k100,MUE,12,0.026192564477829194,0.00516873706452601,0.026309172579369506,0.016731241732510376,0.03629925685624239,"1,2 Aminoalcohol"
v3-k100,R2,12,0.8124561765400953,0.0795660039945447,0.8110970053850765,0.6388151048118113,0.9499378743201234,"1,2 Aminoalcohol"
v3-k100,rho,12,0.9013635096563957,0.04697352843194982,0.9014439952100807,0.8003572249846781,0.9722000815904258,"1,2 Aminoalcohol"
Sage 2.0.0,RMSE,15,0.005406700983909038,0.000987902084029465,0.005348901960012201,0.003370300920320319,0.007311549245969125,"1,2 Diol"
Sage 2.0.0,MUE,15,0.004169069030806213,0.0008880675817513563,0.004166514204569692,0.002514173442968981,0.005943154131445068,"1,2 Diol"
Sage 2.0.0,R2,15,0.9961695240424162,0.003534354950348683,0.9958271405903723,0.9899707663058205,0.9991053905226898,"1,2 Diol"
Sage 2.0.0,rho,15,0.9980829244318414,0.0013869295974439657,0.9980441373131504,0.9949011971770046,0.9994748303357686,"1,2 Diol"
Sage 2.2.1,RMSE,15,0.005752005707428068,0.0008666801774394311,0.005708970170771655,0.003963473212372185,0.007324774070824692,"1,2 Diol"
Sage 2.2.1,MUE,15,0.004602088101842957,0.0008707505968178721,0.004619918463827257,0.002989081930068053,0.006366407702443329,"1,2 Diol"
Sage 2.2.1,R2,15,0.9958112043584534,0.0025220313526326996,0.9955608487198297,0.9895448695266881,0.9985371120501944,"1,2 Diol"
Sage 2.2.1,rho,15,0.9979034043225092,0.0012170095353113315,0.9977745139264548,0.9947197019148878,0.999276468825563,"1,2 Diol"
smee-v2,RMSE,15,0.009953324246300858,0.0012448955423985419,0.009912417259443402,0.007485874574579235,0.012392578464775057,"1,2 Diol"
smee-v2,MUE,15,0.008690154848931993,0.0012363619763033457,0.008647690729488648,0.006293276835233374,0.01114839365786849,"1,2 Diol"
smee-v2,R2,15,0.9949466476783199,0.004289252511592505,0.9944359177622714,0.9852002310987616,0.9988819311205989,"1,2 Diol"
smee-v2,rho,15,0.9974701237021187,0.0023297370237035236,0.9972398085833083,0.9925827951071087,0.9995468085378293,"1,2 Diol"
v1-k100,RMSE,15,0.009414562126598872,0.0013636102774269646,0.00932554828374585,0.0066659967197711546,0.012161826784003382,"1,2 Diol"
v1-k100,MUE,15,0.008047540719381466,0.0012883504731356402,0.008116970858842762,0.005659448766703952,0.010592310063116043,"1,2 Diol"
v1-k100,R2,15,0.9955235778827807,0.0030586508999208453,0.9953165314548237,0.9884710314295098,0.9991206041171049,"1,2 Diol"
v1-k100,rho,15,0.9977592785250261,0.0014930522441334404,0.9976125100834868,0.9933944503945824,0.999426740094405,"1,2 Diol"
v3-k100,RMSE,15,0.009483675563001058,0.001183684575667505,0.009383887222271134,0.007079058040897235,0.011791306318874836,"1,2 Diol"
v3-k100,MUE,15,0.00836521966266884,0.0011577186752971655,0.008330406310640064,0.006243720844362214,0.010876610546515054,"1,2 Diol"
v3-k100,R2,15,0.9956528489637021,0.0032346744456967706,0.9954725467191312,0.9882477786127317,0.9992241235223542,"1,2 Diol"
v3-k100,rho,15,0.9978240571181385,0.0013706578394674937,0.9978129783731915,0.9947386069731721,0.9996139465769106,"1,2 Diol"
Sage 2.0.0,RMSE,13,0.018907806782857414,0.0035026735898474135,0.01864188022552211,0.011653826689318974,0.02568392679336395,Acetal
Sage 2.0.0,MUE,13,0.015148566901461406,0.003218430547396488,0.015303513879219919,0.009537181610603932,0.02202750775629466,Acetal
