,mle,stderr,mean,low,high,FF,dataset,n
0,1.082118223373055,0.12262558322103444,1.124911063906336,0.8870800560097979,1.3729525576885744,Sage 2.2.1 + AM1-BCC (AmberTools),bace,49
1,0.8569059321197747,0.16440189646118603,0.9129522574876195,0.6114669070075756,1.239226036605088,Sage 2.2.1 + AM1-BCC (AmberTools),cdk2,24
2,0.7857080090021938,0.10300909588383023,0.8088551829172266,0.6064703258841928,1.0028010294015521,Sage 2.2.1 + AM1-BCC (AmberTools),jnk1,27
3,1.2632874306911912,0.16679358782773432,1.3327917691399107,1.0271484511238809,1.6636650534984352,Sage 2.2.1 + AM1-BCC (AmberTools),mcl1,62
4,1.6194279991042861,0.2342254427576233,1.6704500360894194,1.283991308564121,2.151877643062352,Sage 2.2.1 + AM1-BCC (AmberTools),p38,51
5,1.8046573846451825,0.3809452697920343,1.7835761853754288,1.0544729717998285,2.5089588687298594,Sage 2.2.1 + AM1-BCC (AmberTools),ptp1b,34
6,0.7700416601974965,0.11622478237358375,0.7723500184126911,0.5347071587890053,1.0000299012466791,Sage 2.2.1 + AM1-BCC (AmberTools),thrombin,14
7,0.5713064187037863,0.07776345643108255,0.5951172189271081,0.45510308851022013,0.7611184794693177,Sage 2.2.1 + AM1-BCC (AmberTools),tyk2,22
8,1.3046067176600051,0.14587886017506846,1.3534439424001725,1.0669328647330645,1.6516462619722334,Sage 2.2.1 + AM1-BCC ELF10 (OpenEye),bace,49
9,0.8938891164196894,0.1588098741054687,0.9966113521271264,0.6843878889585732,1.2949465844048544,Sage 2.2.1 + AM1-BCC ELF10 (OpenEye),cdk2,24
10,0.6559104609967368,0.08904623826150646,0.6771683726222706,0.5040027027458382,0.8523260844408994,Sage 2.2.1 + AM1-BCC ELF10 (OpenEye),jnk1,27
11,1.5151764008583812,0.18969502623127024,1.5520360048894235,1.2053643881344618,1.9168651830139811,Sage 2.2.1 + AM1-BCC ELF10 (OpenEye),mcl1,62
12,1.56116598973506,0.2637211848602679,1.6425407777003393,1.1923793700225656,2.1801862775751935,Sage 2.2.1 + AM1-BCC ELF10 (OpenEye),p38,51
13,1.6101443164321536,0.2549325068794638,1.624547074660237,1.1504850074739719,2.1725529273843054,Sage 2.2.1 + AM1-BCC ELF10 (OpenEye),ptp1b,34
14,0.6095313811361204,0.1062281006586336,0.6126203397727383,0.4161826567311433,0.8158623574068895,Sage 2.2.1 + AM1-BCC ELF10 (OpenEye),thrombin,14
15,0.6567967406761475,0.06625724003966163,0.6700616090094891,0.5344615205134572,0.7978843886363504,Sage 2.2.1 + AM1-BCC ELF10 (OpenEye),tyk2,22
16,1.066751043469744,0.10871401163028016,1.1048369146373798,0.8970322301645404,1.3080303016779675,Sage 2.3.0 + AshGC,bace,49
17,0.8016546590174645,0.13710469691036722,0.9378894136689355,0.672246159287366,1.2259528033938372,Sage 2.3.0 + AshGC,cdk2,24
18,0.6625512246003323,0.09271412171229065,0.6876704271245788,0.5099997338940707,0.8784535026360449,Sage 2.3.0 + AshGC,jnk1,27
19,1.5183261650125464,0.21101705327437628,1.5573489612325715,1.174633621763389,1.9869091364640532,Sage 2.3.0 + AshGC,mcl1,62
20,1.4334635732598962,0.2475245519867367,1.51033569469834,1.066314363668236,2.027224272580369,Sage 2.3.0 + AshGC,p38,51
21,1.7907516026331645,0.22840552754822696,1.7974721929091744,1.3315825935225791,2.2413994909284165,Sage 2.3.0 + AshGC,ptp1b,34
22,0.7161503202837035,0.10274518627154257,0.7213319793975377,0.5141640540595449,0.9165556219687263,Sage 2.3.0 + AshGC,thrombin,14
23,0.8424882788675836,0.12063779829236444,0.8616374190333677,0.6530242952749006,1.121140801302514,Sage 2.3.0 + AshGC,tyk2,22
