,Property type,Reference,iter_0000,iter_0001,iter_0002,iter_0003,iter_0004,iter_0005,iter_0006,iter_0007,iter_0008,iter_0009,iter_0010,iter_0011,iter_0012,iter_0013,iter_0014,iter_0015
dhmix_592425981731704,EnthalpyOfMixing,0.2015,0.27213612916662555,0.3781137140397277,0.2555679265624917,0.28533624484674647,0.24845503467743413,0.266441483862792,0.2927787382483018,0.2290964083136089,0.2564504519944535,0.14981141895191286,0.2818314694378188,0.21849030866779628,0.30890298068169386,0.21826573758994527,0.26247556822974616,0.3617182818229594
dens_191923210986624643,Density,0.7818000000000002,0.7584211212696402,0.7717081544436357,0.7737450057121981,0.7744141359224861,0.7746115894643728,0.77566280416292,0.7758642829692065,0.7757480751512502,0.7760994512683167,0.7765903259792022,0.775751007986168,0.7756903070591035,0.7758002538851221,0.7756507527422412,0.7763422659828803,0.775615538371093
dens_699555827256664507,Density,0.8378000000000001,0.8174914621792249,0.8345707977254214,0.8366961770562426,0.8385392808361648,0.8383736650130034,0.8386872497595467,0.8408797212315827,0.840936213909434,0.8415588830535332,0.8411744397061619,0.840240238574399,0.8405175277511822,0.8403841228085387,0.8400821239092663,0.8410210686820382,0.8395468411424424
dhmix_997331474504366167,EnthalpyOfMixing,0.5221,0.4987663831212217,0.748555761075778,0.7866166682868396,0.7427291182820852,0.6226919880470092,0.6840355668258269,0.7122007200671732,0.6928388592566819,0.7436568683123568,0.637034232339289,0.7216906964601719,0.6014711598858753,0.7008216652219517,0.5857453737499299,0.6515096290889488,0.6548615296368752
dhmix_1586684551148150215,EnthalpyOfMixing,0.5887,0.7509385547392355,0.7618835173919081,0.754523218529755,0.7540843702292079,0.7326088206022803,0.7396282822845848,0.7548407134214017,0.6736428333995974,0.7132364911998224,0.7150109276763033,0.720657345711615,0.777240729473462,0.7563784710270482,0.7661950700390321,0.7491136890561165,0.7639225960988512
dens_1809100412119556796,Density,0.8228000000000002,0.8016162489388923,0.8162331323771311,0.8183531636259793,0.8191014644806207,0.8199422822089453,0.8204227084456844,0.821514838304145,0.821366241553677,0.8219179013933822,0.8224397638863539,0.8209746062027586,0.8208226840523273,0.8204847186230384,0.8209484171117446,0.8216181450575465,0.8205032864220184
dhmix_1261378482688431,EnthalpyOfMixing,-1.173,-0.4803940648506213,-0.46641053813074507,-0.6366502780192604,-0.6352985779618479,-0.45112107739586804,-0.51199953247054,-0.5707271433157146,-0.74232487738864,-0.723012079920565,-0.7245317473171013,-0.4175576650571102,-0.8257432831016871,-0.603859790810553,-0.6185707520354455,-0.5817492785747334,-0.4670071106099414
dhmix_157258283975731553,EnthalpyOfMixing,-0.469,-0.3451957278179485,-0.4247999568285117,-0.3562236180158873,-0.39936315349052975,-0.37887618558560376,-0.40011489757828933,-0.46302228771059717,-0.3737086997280503,-0.4788470473485855,-0.4848453968934212,-0.34709405828554374,-0.48303307753171154,-0.3985113571806025,-0.3449482479553918,-0.39366560721787813,-0.3441769164997215
dens_610648476268376520,Density,0.9213850000000002,0.919232008958297,0.9254032644492978,0.924188157522342,0.9255032097271519,0.925297371605971,0.9252200192002613,0.9254623105952205,0.9256608715806955,0.9254386369007226,0.9256823691804172,0.9249703971617608,0.9249194969273641,0.9240536347752195,0.9255411319794927,0.925786347344229,0.9250370619825873
dens_1388487494953421117,Density,0.8265540000000001,0.8022994489695684,0.8142118440343302,0.8140294813843374,0.8153495226155026,0.8158824733485521,0.8166698560282558,0.8172831111865192,0.8168534534012935,0.8180496507509584,0.8174356631245362,0.817874821104026,0.8177195209466033,0.8159613850589743,0.81672685750054,0.8172203496641268,0.8154329838850135
