smirks,initial_epsilon,final_epsilon,initial_rmin_half,final_rmin_half,% epsilon,% rmin_half,SMIRKS
[#1:1]-[#6X4],0.01577948280971,0.01336628116185,1.48419980825,1.495082464255,-15.293287346369956,0.7332338910507965,[#1:1]-[#6X4]
"[#1:1]-[#6X4]-[#7,#8,#9,#16,#17,#35]",0.01640924602775,0.01891997418601,1.449786411317,1.435967812686,15.300691780804925,-0.953147203141947,[#1:1]-[#6X4]-[ENA]
"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",0.0157,0.01559137568183,1.287,1.288149753875,-0.6918746380254708,0.08933596542346915,[#1:1]-[#6X4](-[ENA])-[ENA]
"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])(-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",0.0157,0.01517383637638,1.187,1.188911001242,-3.351360659999994,0.16099420741365242,[#1:1]-[#6X4](-[ENA])(-[ENA])-[ENA]
[#1:1]-[#6X3],0.01561134320353,0.01597537378736,1.443812569645,1.479065946749,2.331833840842648,2.4416865350235866,[#1:1]-[#6X3]
"[#1:1]-[#6X3]~[#7,#8,#9,#16,#17,#35]",0.01310699839698,0.01761379732429,1.377051329051,1.370805406499,34.38467596325044,-0.45357223948248615,[#1:1]-[#6X3]~[ENA]
"[#1:1]-[#6X3](~[#7,#8,#9,#16,#17,#35])~[#7,#8,#9,#16,#17,#35]",0.01479744504464,0.01359601107204,1.370482808197,1.372163754664,-8.119198746645711,0.12265359747280997,[#1:1]-[#6X3](~[ENA])~[ENA]
[#1:1]-[#7],0.01409081474669,0.01386809433135,0.6192778454102,0.6506218845032,-1.5806070787519046,5.06138550334191,[#1:1]-[#7]
[#1:1]-[#8],1.232599966667e-05,1.232058709465e-05,0.2999999999997,0.2991902460601,-0.04391183000462455,-0.2699179798669476,[#1:1]-[#8]
[#6:1],0.0868793154488,0.1033185743622,1.953447017081,1.95815324792,18.921948024657315,0.24091929793070233,[#6:1]
[#6X2:1],0.21,0.2681357838595,1.908,1.906103098598,27.683706599761905,-0.09941831247378558,[#6X2:1]
[#6X4:1],0.1088406109251,0.1205698919337,1.896698071741,1.901434475347,10.77656667755352,0.24971837513666217,[#6X4:1]
[#8:1],0.2102061007896,0.2245605099459,1.706036917087,1.701930728788,6.828730994191094,-0.2406857822286337,[#8:1]
[#8X2H0+0:1],0.1684651402602,0.08532552033817,1.697783613804,1.702425033604,-49.3512306425045,0.27338111654881597,[#8X2H0+0:1]
[#8X2H1+0:1],0.2094735324129,0.1353608645661,1.682099169199,1.697006198763,-35.380444962714506,0.886215856767751,[#8X2H1+0:1]
[#7:1],0.1676915150424,0.1025954704049,1.799798315098,1.845362249921,-38.81892570476257,2.5316133724971936,[#7:1]
[#17:1],0.2656001046527,0.2378672481785,1.85628721824,1.847209758547,-10.441583413705214,-0.48901159280764295,[#17:1]
[#35:1],0.3218986365974,0.3359052482848,1.969806594135,1.964485358405,4.351249149563239,-0.2701400099808685,[#35:1]
