,Property type,Value,Substances,Mole fraction compound,Mole fraction type,Mole fraction value,doi
212,"Mass density, kg/m3",2088.28,"['1,2-dibromoethane', 'butyl ethanoate']","1,2-dibromoethane",Mole fraction,0.0411,10.1016/j.jct.2009.05.006
213,"Mass density, kg/m3",2020.04,"['1,2-dibromoethane', 'butyl ethanoate']","1,2-dibromoethane",Mole fraction,0.0776,10.1016/j.jct.2009.05.006
214,"Mass density, kg/m3",1938.53,"['1,2-dibromoethane', 'butyl ethanoate']","1,2-dibromoethane",Mole fraction,0.1229,10.1016/j.jct.2009.05.006
215,"Mass density, kg/m3",1867.04,"['1,2-dibromoethane', 'butyl ethanoate']","1,2-dibromoethane",Mole fraction,0.1646,10.1016/j.jct.2009.05.006
216,"Mass density, kg/m3",1787.29,"['1,2-dibromoethane', 'butyl ethanoate']","1,2-dibromoethane",Mole fraction,0.2132,10.1016/j.jct.2009.05.006
217,"Mass density, kg/m3",1722.15,"['1,2-dibromoethane', 'butyl ethanoate']","1,2-dibromoethane",Mole fraction,0.2547,10.1016/j.jct.2009.05.006
218,"Mass density, kg/m3",1633.77,"['1,2-dibromoethane', 'butyl ethanoate']","1,2-dibromoethane",Mole fraction,0.3138,10.1016/j.jct.2009.05.006
219,"Mass density, kg/m3",1560.33,"['1,2-dibromoethane', 'butyl ethanoate']","1,2-dibromoethane",Mole fraction,0.3655,10.1016/j.jct.2009.05.006
220,"Mass density, kg/m3",1480.67,"['1,2-dibromoethane', 'butyl ethanoate']","1,2-dibromoethane",Mole fraction,0.4245,10.1016/j.jct.2009.05.006
221,"Mass density, kg/m3",1410.27,"['1,2-dibromoethane', 'butyl ethanoate']","1,2-dibromoethane",Mole fraction,0.4793,10.1016/j.jct.2009.05.006
222,"Mass density, kg/m3",1327.38,"['1,2-dibromoethane', 'butyl ethanoate']","1,2-dibromoethane",Mole fraction,0.5474,10.1016/j.jct.2009.05.006
223,"Mass density, kg/m3",1259.71,"['1,2-dibromoethane', 'butyl ethanoate']","1,2-dibromoethane",Mole fraction,0.606,10.1016/j.jct.2009.05.006
224,"Mass density, kg/m3",1181.2,"['1,2-dibromoethane', 'butyl ethanoate']","1,2-dibromoethane",Mole fraction,0.6776,10.1016/j.jct.2009.05.006
225,"Mass density, kg/m3",1108.57,"['1,2-dibromoethane', 'butyl ethanoate']","1,2-dibromoethane",Mole fraction,0.7476,10.1016/j.jct.2009.05.006
226,"Mass density, kg/m3",1034.7,"['1,2-dibromoethane', 'butyl ethanoate']","1,2-dibromoethane",Mole fraction,0.823,10.1016/j.jct.2009.05.006
227,"Mass density, kg/m3",962.52,"['1,2-dibromoethane', 'butyl ethanoate']","1,2-dibromoethane",Mole fraction,0.9008,10.1016/j.jct.2009.05.006
228,"Excess molar volume, m3/mol",2.5e-08,"['1,2-dibromoethane', 'butyl ethanoate']","1,2-dibromoethane",Mole fraction,0.0411,10.1016/j.jct.2009.05.006
229,"Excess molar volume, m3/mol",4.4e-08,"['1,2-dibromoethane', 'butyl ethanoate']","1,2-dibromoethane",Mole fraction,0.0776,10.1016/j.jct.2009.05.006
230,"Excess molar volume, m3/mol",8.8e-08,"['1,2-dibromoethane', 'butyl ethanoate']","1,2-dibromoethane",Mole fraction,0.1229,10.1016/j.jct.2009.05.006
