,Property type,Value,Substances,Mole fraction compound,Mole fraction type,Mole fraction value,doi
0,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.041,"['1,2-dibromoethane', 'butyl methanoate']",butyl methanoate,Mole fraction,0.0509,10.1016/j.jct.2009.05.006
1,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.078,"['1,2-dibromoethane', 'butyl methanoate']",butyl methanoate,Mole fraction,0.1197,10.1016/j.jct.2009.05.006
2,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.113,"['1,2-dibromoethane', 'butyl methanoate']",butyl methanoate,Mole fraction,0.1992,10.1016/j.jct.2009.05.006
3,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.134,"['1,2-dibromoethane', 'butyl methanoate']",butyl methanoate,Mole fraction,0.28,10.1016/j.jct.2009.05.006
4,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.139,"['1,2-dibromoethane', 'butyl methanoate']",butyl methanoate,Mole fraction,0.3511,10.1016/j.jct.2009.05.006
5,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.137,"['1,2-dibromoethane', 'butyl methanoate']",butyl methanoate,Mole fraction,0.3993,10.1016/j.jct.2009.05.006
6,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.132,"['1,2-dibromoethane', 'butyl methanoate']",butyl methanoate,Mole fraction,0.449,10.1016/j.jct.2009.05.006
7,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.125,"['1,2-dibromoethane', 'butyl methanoate']",butyl methanoate,Mole fraction,0.4831,10.1016/j.jct.2009.05.006
8,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.113,"['1,2-dibromoethane', 'butyl methanoate']",butyl methanoate,Mole fraction,0.5504,10.1016/j.jct.2009.05.006
9,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.092,"['1,2-dibromoethane', 'butyl methanoate']",butyl methanoate,Mole fraction,0.6334,10.1016/j.jct.2009.05.006
10,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.067,"['1,2-dibromoethane', 'butyl methanoate']",butyl methanoate,Mole fraction,0.7275,10.1016/j.jct.2009.05.006
11,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.044,"['1,2-dibromoethane', 'butyl methanoate']",butyl methanoate,Mole fraction,0.8087,10.1016/j.jct.2009.05.006
12,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.017,"['1,2-dibromoethane', 'butyl methanoate']",butyl methanoate,Mole fraction,0.9111,10.1016/j.jct.2009.05.006
13,"Mass density, kg/m3",2085.1,"['1,2-dibromoethane', 'butyl methanoate']",butyl methanoate,Mole fraction,0.0489,10.1016/j.jct.2009.05.006
14,"Mass density, kg/m3",2008.94,"['1,2-dibromoethane', 'butyl methanoate']",butyl methanoate,Mole fraction,0.0955,10.1016/j.jct.2009.05.006
15,"Mass density, kg/m3",1938.46,"['1,2-dibromoethane', 'butyl methanoate']",butyl methanoate,Mole fraction,0.1401,10.1016/j.jct.2009.05.006
16,"Mass density, kg/m3",1864.18,"['1,2-dibromoethane', 'butyl methanoate']",butyl methanoate,Mole fraction,0.1884,10.1016/j.jct.2009.05.006
17,"Mass density, kg/m3",1790.7,"['1,2-dibromoethane', 'butyl methanoate']",butyl methanoate,Mole fraction,0.2379,10.1016/j.jct.2009.05.006
18,"Mass density, kg/m3",1688.13,"['1,2-dibromoethane', 'butyl methanoate']",butyl methanoate,Mole fraction,0.3095,10.1016/j.jct.2009.05.006
19,"Mass density, kg/m3",1646.07,"['1,2-dibromoethane', 'butyl methanoate']",butyl methanoate,Mole fraction,0.3398,10.1016/j.jct.2009.05.006
20,"Mass density, kg/m3",1565.68,"['1,2-dibromoethane', 'butyl methanoate']",butyl methanoate,Mole fraction,0.3993,10.1016/j.jct.2009.05.006
21,"Mass density, kg/m3",1422.24,"['1,2-dibromoethane', 'butyl methanoate']",butyl methanoate,Mole fraction,0.5112,10.1016/j.jct.2009.05.006
22,"Mass density, kg/m3",1340.18,"['1,2-dibromoethane', 'butyl methanoate']",butyl methanoate,Mole fraction,0.5786,10.1016/j.jct.2009.05.006
23,"Mass density, kg/m3",1266.85,"['1,2-dibromoethane', 'butyl methanoate']",butyl methanoate,Mole fraction,0.641,10.1016/j.jct.2009.05.006
24,"Mass density, kg/m3",1196.55,"['1,2-dibromoethane', 'butyl methanoate']",butyl methanoate,Mole fraction,0.7029,10.1016/j.jct.2009.05.006
25,"Mass density, kg/m3",1118.89,"['1,2-dibromoethane', 'butyl methanoate']",butyl methanoate,Mole fraction,0.7738,10.1016/j.jct.2009.05.006
26,"Mass density, kg/m3",1053.24,"['1,2-dibromoethane', 'butyl methanoate']",butyl methanoate,Mole fraction,0.8358,10.1016/j.jct.2009.05.006
27,"Mass density, kg/m3",973.46,"['1,2-dibromoethane', 'butyl methanoate']",butyl methanoate,Mole fraction,0.9138,10.1016/j.jct.2009.05.006
28,"Excess molar volume, m3/mol",3.7e-08,"['1,2-dibromoethane', 'butyl methanoate']",butyl methanoate,Mole fraction,0.0489,10.1016/j.jct.2009.05.006
29,"Excess molar volume, m3/mol",7e-08,"['1,2-dibromoethane', 'butyl methanoate']",butyl methanoate,Mole fraction,0.0955,10.1016/j.jct.2009.05.006
30,"Excess molar volume, m3/mol",9.1e-08,"['1,2-dibromoethane', 'butyl methanoate']",butyl methanoate,Mole fraction,0.1401,10.1016/j.jct.2009.05.006
31,"Excess molar volume, m3/mol",1.25e-07,"['1,2-dibromoethane', 'butyl methanoate']",butyl methanoate,Mole fraction,0.1884,10.1016/j.jct.2009.05.006
32,"Excess molar volume, m3/mol",1.35e-07,"['1,2-dibromoethane', 'butyl methanoate']",butyl methanoate,Mole fraction,0.2379,10.1016/j.jct.2009.05.006
33,"Excess molar volume, m3/mol",1.62e-07,"['1,2-dibromoethane', 'butyl methanoate']",butyl methanoate,Mole fraction,0.3095,10.1016/j.jct.2009.05.006
34,"Excess molar volume, m3/mol",1.68e-07,"['1,2-dibromoethane', 'butyl methanoate']",butyl methanoate,Mole fraction,0.3398,10.1016/j.jct.2009.05.006
35,"Excess molar volume, m3/mol",1.78e-07,"['1,2-dibromoethane', 'butyl methanoate']",butyl methanoate,Mole fraction,0.3993,10.1016/j.jct.2009.05.006
36,"Excess molar volume, m3/mol",1.73e-07,"['1,2-dibromoethane', 'butyl methanoate']",butyl methanoate,Mole fraction,0.5112,10.1016/j.jct.2009.05.006
37,"Excess molar volume, m3/mol",1.62e-07,"['1,2-dibromoethane', 'butyl methanoate']",butyl methanoate,Mole fraction,0.5786,10.1016/j.jct.2009.05.006
38,"Excess molar volume, m3/mol",1.51e-07,"['1,2-dibromoethane', 'butyl methanoate']",butyl methanoate,Mole fraction,0.641,10.1016/j.jct.2009.05.006
39,"Excess molar volume, m3/mol",1.27e-07,"['1,2-dibromoethane', 'butyl methanoate']",butyl methanoate,Mole fraction,0.7029,10.1016/j.jct.2009.05.006
40,"Excess molar volume, m3/mol",9.6e-08,"['1,2-dibromoethane', 'butyl methanoate']",butyl methanoate,Mole fraction,0.7738,10.1016/j.jct.2009.05.006
41,"Excess molar volume, m3/mol",7.2e-08,"['1,2-dibromoethane', 'butyl methanoate']",butyl methanoate,Mole fraction,0.8358,10.1016/j.jct.2009.05.006
42,"Excess molar volume, m3/mol",4.5e-08,"['1,2-dibromoethane', 'butyl methanoate']",butyl methanoate,Mole fraction,0.9138,10.1016/j.jct.2009.05.006
43,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.065,"['1,3-dibromopropane', 'butyl methanoate']",butyl methanoate,Mole fraction,0.0631,10.1016/j.jct.2009.05.006
44,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.128,"['1,3-dibromopropane', 'butyl methanoate']",butyl methanoate,Mole fraction,0.1489,10.1016/j.jct.2009.05.006
45,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.166,"['1,3-dibromopropane', 'butyl methanoate']",butyl methanoate,Mole fraction,0.2355,10.1016/j.jct.2009.05.006
46,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.182,"['1,3-dibromopropane', 'butyl methanoate']",butyl methanoate,Mole fraction,0.3208,10.1016/j.jct.2009.05.006
47,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.179,"['1,3-dibromopropane', 'butyl methanoate']",butyl methanoate,Mole fraction,0.3958,10.1016/j.jct.2009.05.006
48,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.171,"['1,3-dibromopropane', 'butyl methanoate']",butyl methanoate,Mole fraction,0.4589,10.1016/j.jct.2009.05.006
49,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.158,"['1,3-dibromopropane', 'butyl methanoate']",butyl methanoate,Mole fraction,0.5144,10.1016/j.jct.2009.05.006
50,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.149,"['1,3-dibromopropane', 'butyl methanoate']",butyl methanoate,Mole fraction,0.5498,10.1016/j.jct.2009.05.006
51,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.144,"['1,3-dibromopropane', 'butyl methanoate']",butyl methanoate,Mole fraction,0.5621,10.1016/j.jct.2009.05.006
52,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.121,"['1,3-dibromopropane', 'butyl methanoate']",butyl methanoate,Mole fraction,0.6372,10.1016/j.jct.2009.05.006
53,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.095,"['1,3-dibromopropane', 'butyl methanoate']",butyl methanoate,Mole fraction,0.7237,10.1016/j.jct.2009.05.006
54,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.06,"['1,3-dibromopropane', 'butyl methanoate']",butyl methanoate,Mole fraction,0.8208,10.1016/j.jct.2009.05.006
55,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.029,"['1,3-dibromopropane', 'butyl methanoate']",butyl methanoate,Mole fraction,0.9151,10.1016/j.jct.2009.05.006
