,Property type,Value,Substances,Mole fraction compound,Mole fraction type,Mole fraction value,doi
153,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",-0.0314,"['1,2-dichloroethane', 'ethyl methanoate']",ethyl methanoate,Mole fraction,0.0533,10.1016/j.jct.2006.10.008
154,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",-0.0725,"['1,2-dichloroethane', 'ethyl methanoate']",ethyl methanoate,Mole fraction,0.117,10.1016/j.jct.2006.10.008
155,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",-0.1122,"['1,2-dichloroethane', 'ethyl methanoate']",ethyl methanoate,Mole fraction,0.1872,10.1016/j.jct.2006.10.008
156,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",-0.1475,"['1,2-dichloroethane', 'ethyl methanoate']",ethyl methanoate,Mole fraction,0.2551,10.1016/j.jct.2006.10.008
157,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",-0.1809,"['1,2-dichloroethane', 'ethyl methanoate']",ethyl methanoate,Mole fraction,0.3201,10.1016/j.jct.2006.10.008
158,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",-0.209,"['1,2-dichloroethane', 'ethyl methanoate']",ethyl methanoate,Mole fraction,0.3798,10.1016/j.jct.2006.10.008
159,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",-0.2297,"['1,2-dichloroethane', 'ethyl methanoate']",ethyl methanoate,Mole fraction,0.4359,10.1016/j.jct.2006.10.008
160,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",-0.2442,"['1,2-dichloroethane', 'ethyl methanoate']",ethyl methanoate,Mole fraction,0.4835,10.1016/j.jct.2006.10.008
161,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",-0.2501,"['1,2-dichloroethane', 'ethyl methanoate']",ethyl methanoate,Mole fraction,0.5094,10.1016/j.jct.2006.10.008
162,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",-0.2504,"['1,2-dichloroethane', 'ethyl methanoate']",ethyl methanoate,Mole fraction,0.5591,10.1016/j.jct.2006.10.008
163,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",-0.24,"['1,2-dichloroethane', 'ethyl methanoate']",ethyl methanoate,Mole fraction,0.6134,10.1016/j.jct.2006.10.008
164,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",-0.2284,"['1,2-dichloroethane', 'ethyl methanoate']",ethyl methanoate,Mole fraction,0.6735,10.1016/j.jct.2006.10.008
165,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",-0.2029,"['1,2-dichloroethane', 'ethyl methanoate']",ethyl methanoate,Mole fraction,0.7374,10.1016/j.jct.2006.10.008
166,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",-0.1662,"['1,2-dichloroethane', 'ethyl methanoate']",ethyl methanoate,Mole fraction,0.8,10.1016/j.jct.2006.10.008
167,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",-0.1182,"['1,2-dichloroethane', 'ethyl methanoate']",ethyl methanoate,Mole fraction,0.8714,10.1016/j.jct.2006.10.008
168,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",-0.0611,"['1,2-dichloroethane', 'ethyl methanoate']",ethyl methanoate,Mole fraction,0.9368,10.1016/j.jct.2006.10.008
169,"Mass density, kg/m3",1226.06,"['1,2-dichloroethane', 'ethyl methanoate']",ethyl methanoate,Mole fraction,0.0571,10.1016/j.jct.2006.10.008
170,"Mass density, kg/m3",1204.8,"['1,2-dichloroethane', 'ethyl methanoate']",ethyl methanoate,Mole fraction,0.1212,10.1016/j.jct.2006.10.008
171,"Mass density, kg/m3",1185.79,"['1,2-dichloroethane', 'ethyl methanoate']",ethyl methanoate,Mole fraction,0.1793,10.1016/j.jct.2006.10.008
172,"Mass density, kg/m3",1168.78,"['1,2-dichloroethane', 'ethyl methanoate']",ethyl methanoate,Mole fraction,0.2317,10.1016/j.jct.2006.10.008
173,"Mass density, kg/m3",1148.35,"['1,2-dichloroethane', 'ethyl methanoate']",ethyl methanoate,Mole fraction,0.2946,10.1016/j.jct.2006.10.008
174,"Mass density, kg/m3",1128.9,"['1,2-dichloroethane', 'ethyl methanoate']",ethyl methanoate,Mole fraction,0.355,10.1016/j.jct.2006.10.008
175,"Mass density, kg/m3",1109.76,"['1,2-dichloroethane', 'ethyl methanoate']",ethyl methanoate,Mole fraction,0.4144,10.1016/j.jct.2006.10.008
176,"Mass density, kg/m3",1093.66,"['1,2-dichloroethane', 'ethyl methanoate']",ethyl methanoate,Mole fraction,0.465,10.1016/j.jct.2006.10.008
177,"Mass density, kg/m3",1073.24,"['1,2-dichloroethane', 'ethyl methanoate']",ethyl methanoate,Mole fraction,0.5294,10.1016/j.jct.2006.10.008
178,"Mass density, kg/m3",1054.49,"['1,2-dichloroethane', 'ethyl methanoate']",ethyl methanoate,Mole fraction,0.5889,10.1016/j.jct.2006.10.008
179,"Mass density, kg/m3",1035.88,"['1,2-dichloroethane', 'ethyl methanoate']",ethyl methanoate,Mole fraction,0.6485,10.1016/j.jct.2006.10.008
180,"Mass density, kg/m3",1017.61,"['1,2-dichloroethane', 'ethyl methanoate']",ethyl methanoate,Mole fraction,0.7065,10.1016/j.jct.2006.10.008
181,"Mass density, kg/m3",999.52,"['1,2-dichloroethane', 'ethyl methanoate']",ethyl methanoate,Mole fraction,0.7648,10.1016/j.jct.2006.10.008
182,"Mass density, kg/m3",981.06,"['1,2-dichloroethane', 'ethyl methanoate']",ethyl methanoate,Mole fraction,0.8239,10.1016/j.jct.2006.10.008
183,"Mass density, kg/m3",962.96,"['1,2-dichloroethane', 'ethyl methanoate']",ethyl methanoate,Mole fraction,0.8823,10.1016/j.jct.2006.10.008
184,"Mass density, kg/m3",946.9,"['1,2-dichloroethane', 'ethyl methanoate']",ethyl methanoate,Mole fraction,0.9345,10.1016/j.jct.2006.10.008
185,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.0342,"['ethyl methanoate', '1,3-dichloropropane']",ethyl methanoate,Mole fraction,0.1171,10.1016/j.jct.2006.10.008
186,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.0689,"['ethyl methanoate', '1,3-dichloropropane']",ethyl methanoate,Mole fraction,0.2311,10.1016/j.jct.2006.10.008
187,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.0846,"['ethyl methanoate', '1,3-dichloropropane']",ethyl methanoate,Mole fraction,0.3403,10.1016/j.jct.2006.10.008
188,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.0819,"['ethyl methanoate', '1,3-dichloropropane']",ethyl methanoate,Mole fraction,0.435,10.1016/j.jct.2006.10.008
189,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.0692,"['ethyl methanoate', '1,3-dichloropropane']",ethyl methanoate,Mole fraction,0.5147,10.1016/j.jct.2006.10.008
190,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.0519,"['ethyl methanoate', '1,3-dichloropropane']",ethyl methanoate,Mole fraction,0.5813,10.1016/j.jct.2006.10.008
191,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.0374,"['ethyl methanoate', '1,3-dichloropropane']",ethyl methanoate,Mole fraction,0.6354,10.1016/j.jct.2006.10.008
192,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.0246,"['ethyl methanoate', '1,3-dichloropropane']",ethyl methanoate,Mole fraction,0.682,10.1016/j.jct.2006.10.008
193,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.0124,"['ethyl methanoate', '1,3-dichloropropane']",ethyl methanoate,Mole fraction,0.7186,10.1016/j.jct.2006.10.008
194,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",-0.0155,"['ethyl methanoate', '1,3-dichloropropane']",ethyl methanoate,Mole fraction,0.7381,10.1016/j.jct.2006.10.008
195,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",-0.0284,"['ethyl methanoate', '1,3-dichloropropane']",ethyl methanoate,Mole fraction,0.7773,10.1016/j.jct.2006.10.008
196,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",-0.0385,"['ethyl methanoate', '1,3-dichloropropane']",ethyl methanoate,Mole fraction,0.8208,10.1016/j.jct.2006.10.008
197,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",-0.0441,"['ethyl methanoate', '1,3-dichloropropane']",ethyl methanoate,Mole fraction,0.8622,10.1016/j.jct.2006.10.008
198,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",-0.0359,"['ethyl methanoate', '1,3-dichloropropane']",ethyl methanoate,Mole fraction,0.9018,10.1016/j.jct.2006.10.008
199,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",-0.0189,"['ethyl methanoate', '1,3-dichloropropane']",ethyl methanoate,Mole fraction,0.9383,10.1016/j.jct.2006.10.008
200,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",-0.0012,"['ethyl methanoate', '1,3-dichloropropane']",ethyl methanoate,Mole fraction,0.9723,10.1016/j.jct.2006.10.008
201,"Mass density, kg/m3",1161.82,"['ethyl methanoate', '1,3-dichloropropane']",ethyl methanoate,Mole fraction,0.0758,10.1016/j.jct.2006.10.008
202,"Mass density, kg/m3",1147.48,"['ethyl methanoate', '1,3-dichloropropane']",ethyl methanoate,Mole fraction,0.1392,10.1016/j.jct.2006.10.008
203,"Mass density, kg/m3",1132.04,"['ethyl methanoate', '1,3-dichloropropane']",ethyl methanoate,Mole fraction,0.2059,10.1016/j.jct.2006.10.008
204,"Mass density, kg/m3",1117.5,"['ethyl methanoate', '1,3-dichloropropane']",ethyl methanoate,Mole fraction,0.2686,10.1016/j.jct.2006.10.008
205,"Mass density, kg/m3",1101.45,"['ethyl methanoate', '1,3-dichloropropane']",ethyl methanoate,Mole fraction,0.336,10.1016/j.jct.2006.10.008
206,"Mass density, kg/m3",1086.31,"['ethyl methanoate', '1,3-dichloropropane']",ethyl methanoate,Mole fraction,0.3983,10.1016/j.jct.2006.10.008
207,"Mass density, kg/m3",1071.44,"['ethyl methanoate', '1,3-dichloropropane']",ethyl methanoate,Mole fraction,0.4584,10.1016/j.jct.2006.10.008
208,"Mass density, kg/m3",1056.42,"['ethyl methanoate', '1,3-dichloropropane']",ethyl methanoate,Mole fraction,0.5183,10.1016/j.jct.2006.10.008
209,"Mass density, kg/m3",1041.98,"['ethyl methanoate', '1,3-dichloropropane']",ethyl methanoate,Mole fraction,0.5752,10.1016/j.jct.2006.10.008
210,"Mass density, kg/m3",1027.35,"['ethyl methanoate', '1,3-dichloropropane']",ethyl methanoate,Mole fraction,0.6319,10.1016/j.jct.2006.10.008
211,"Mass density, kg/m3",1012.54,"['ethyl methanoate', '1,3-dichloropropane']",ethyl methanoate,Mole fraction,0.6884,10.1016/j.jct.2006.10.008
212,"Mass density, kg/m3",997.87,"['ethyl methanoate', '1,3-dichloropropane']",ethyl methanoate,Mole fraction,0.7433,10.1016/j.jct.2006.10.008
213,"Mass density, kg/m3",983.56,"['ethyl methanoate', '1,3-dichloropropane']",ethyl methanoate,Mole fraction,0.7967,10.1016/j.jct.2006.10.008
214,"Mass density, kg/m3",969.23,"['ethyl methanoate', '1,3-dichloropropane']",ethyl methanoate,Mole fraction,0.849,10.1016/j.jct.2006.10.008
215,"Mass density, kg/m3",954.87,"['ethyl methanoate', '1,3-dichloropropane']",ethyl methanoate,Mole fraction,0.9005,10.1016/j.jct.2006.10.008
216,"Mass density, kg/m3",941.1,"['ethyl methanoate', '1,3-dichloropropane']",ethyl methanoate,Mole fraction,0.949,10.1016/j.jct.2006.10.008
217,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.1097,"['ethyl methanoate', '1,4-dichlorobutane']",ethyl methanoate,Mole fraction,0.083,10.1016/j.jct.2006.10.008
218,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.1759,"['ethyl methanoate', '1,4-dichlorobutane']",ethyl methanoate,Mole fraction,0.1706,10.1016/j.jct.2006.10.008
