,Property type,Value,Substances,Mole fraction compound,Mole fraction type,Mole fraction value,doi
219,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.2206,"['ethyl methanoate', '1,4-dichlorobutane']",ethyl methanoate,Mole fraction,0.256,10.1016/j.jct.2006.10.008
220,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.2442,"['ethyl methanoate', '1,4-dichlorobutane']",ethyl methanoate,Mole fraction,0.3368,10.1016/j.jct.2006.10.008
221,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.2436,"['ethyl methanoate', '1,4-dichlorobutane']",ethyl methanoate,Mole fraction,0.4094,10.1016/j.jct.2006.10.008
222,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.2303,"['ethyl methanoate', '1,4-dichlorobutane']",ethyl methanoate,Mole fraction,0.473,10.1016/j.jct.2006.10.008
223,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.2115,"['ethyl methanoate', '1,4-dichlorobutane']",ethyl methanoate,Mole fraction,0.5279,10.1016/j.jct.2006.10.008
224,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.1652,"['ethyl methanoate', '1,4-dichlorobutane']",ethyl methanoate,Mole fraction,0.5977,10.1016/j.jct.2006.10.008
225,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.1422,"['ethyl methanoate', '1,4-dichlorobutane']",ethyl methanoate,Mole fraction,0.6452,10.1016/j.jct.2006.10.008
226,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.1047,"['ethyl methanoate', '1,4-dichlorobutane']",ethyl methanoate,Mole fraction,0.6966,10.1016/j.jct.2006.10.008
227,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.0697,"['ethyl methanoate', '1,4-dichlorobutane']",ethyl methanoate,Mole fraction,0.7477,10.1016/j.jct.2006.10.008
228,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.045,"['ethyl methanoate', '1,4-dichlorobutane']",ethyl methanoate,Mole fraction,0.803,10.1016/j.jct.2006.10.008
229,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.0265,"['ethyl methanoate', '1,4-dichlorobutane']",ethyl methanoate,Mole fraction,0.8543,10.1016/j.jct.2006.10.008
230,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.0156,"['ethyl methanoate', '1,4-dichlorobutane']",ethyl methanoate,Mole fraction,0.907,10.1016/j.jct.2006.10.008
231,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.0093,"['ethyl methanoate', '1,4-dichlorobutane']",ethyl methanoate,Mole fraction,0.9569,10.1016/j.jct.2006.10.008
232,"Mass density, kg/m3",1120.56,"['ethyl methanoate', '1,4-dichlorobutane']",ethyl methanoate,Mole fraction,0.0774,10.1016/j.jct.2006.10.008
233,"Mass density, kg/m3",1107.96,"['ethyl methanoate', '1,4-dichlorobutane']",ethyl methanoate,Mole fraction,0.1549,10.1016/j.jct.2006.10.008
234,"Mass density, kg/m3",1095.35,"['ethyl methanoate', '1,4-dichlorobutane']",ethyl methanoate,Mole fraction,0.229,10.1016/j.jct.2006.10.008
235,"Mass density, kg/m3",1083.08,"['ethyl methanoate', '1,4-dichlorobutane']",ethyl methanoate,Mole fraction,0.2982,10.1016/j.jct.2006.10.008
236,"Mass density, kg/m3",1070.71,"['ethyl methanoate', '1,4-dichlorobutane']",ethyl methanoate,Mole fraction,0.3653,10.1016/j.jct.2006.10.008
237,"Mass density, kg/m3",1058.33,"['ethyl methanoate', '1,4-dichlorobutane']",ethyl methanoate,Mole fraction,0.4302,10.1016/j.jct.2006.10.008
238,"Mass density, kg/m3",1046.05,"['ethyl methanoate', '1,4-dichlorobutane']",ethyl methanoate,Mole fraction,0.4921,10.1016/j.jct.2006.10.008
239,"Mass density, kg/m3",1033.83,"['ethyl methanoate', '1,4-dichlorobutane']",ethyl methanoate,Mole fraction,0.5517,10.1016/j.jct.2006.10.008
240,"Mass density, kg/m3",1020.82,"['ethyl methanoate', '1,4-dichlorobutane']",ethyl methanoate,Mole fraction,0.6131,10.1016/j.jct.2006.10.008
241,"Mass density, kg/m3",1008.67,"['ethyl methanoate', '1,4-dichlorobutane']",ethyl methanoate,Mole fraction,0.6683,10.1016/j.jct.2006.10.008
242,"Mass density, kg/m3",996.7,"['ethyl methanoate', '1,4-dichlorobutane']",ethyl methanoate,Mole fraction,0.7211,10.1016/j.jct.2006.10.008
243,"Mass density, kg/m3",984.84,"['ethyl methanoate', '1,4-dichlorobutane']",ethyl methanoate,Mole fraction,0.7717,10.1016/j.jct.2006.10.008
244,"Mass density, kg/m3",973.13,"['ethyl methanoate', '1,4-dichlorobutane']",ethyl methanoate,Mole fraction,0.8212,10.1016/j.jct.2006.10.008
245,"Mass density, kg/m3",961.66,"['ethyl methanoate', '1,4-dichlorobutane']",ethyl methanoate,Mole fraction,0.8674,10.1016/j.jct.2006.10.008
246,"Mass density, kg/m3",949.8,"['ethyl methanoate', '1,4-dichlorobutane']",ethyl methanoate,Mole fraction,0.9134,10.1016/j.jct.2006.10.008
247,"Mass density, kg/m3",938.37,"['ethyl methanoate', '1,4-dichlorobutane']",ethyl methanoate,Mole fraction,0.9569,10.1016/j.jct.2006.10.008
248,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.1409,"['ethyl methanoate', '1,5-dichloropentane']",ethyl methanoate,Mole fraction,0.1024,10.1016/j.jct.2006.10.008
249,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.2235,"['ethyl methanoate', '1,5-dichloropentane']",ethyl methanoate,Mole fraction,0.2043,10.1016/j.jct.2006.10.008
250,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.295,"['ethyl methanoate', '1,5-dichloropentane']",ethyl methanoate,Mole fraction,0.2974,10.1016/j.jct.2006.10.008
251,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.3351,"['ethyl methanoate', '1,5-dichloropentane']",ethyl methanoate,Mole fraction,0.3848,10.1016/j.jct.2006.10.008
252,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.3453,"['ethyl methanoate', '1,5-dichloropentane']",ethyl methanoate,Mole fraction,0.4598,10.1016/j.jct.2006.10.008
253,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.3389,"['ethyl methanoate', '1,5-dichloropentane']",ethyl methanoate,Mole fraction,0.5273,10.1016/j.jct.2006.10.008
254,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.321,"['ethyl methanoate', '1,5-dichloropentane']",ethyl methanoate,Mole fraction,0.5845,10.1016/j.jct.2006.10.008
255,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.297,"['ethyl methanoate', '1,5-dichloropentane']",ethyl methanoate,Mole fraction,0.6305,10.1016/j.jct.2006.10.008
256,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.2596,"['ethyl methanoate', '1,5-dichloropentane']",ethyl methanoate,Mole fraction,0.6809,10.1016/j.jct.2006.10.008
257,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.2305,"['ethyl methanoate', '1,5-dichloropentane']",ethyl methanoate,Mole fraction,0.7286,10.1016/j.jct.2006.10.008
258,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.1899,"['ethyl methanoate', '1,5-dichloropentane']",ethyl methanoate,Mole fraction,0.7798,10.1016/j.jct.2006.10.008
259,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.1486,"['ethyl methanoate', '1,5-dichloropentane']",ethyl methanoate,Mole fraction,0.8289,10.1016/j.jct.2006.10.008
260,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.109,"['ethyl methanoate', '1,5-dichloropentane']",ethyl methanoate,Mole fraction,0.8791,10.1016/j.jct.2006.10.008
261,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.0696,"['ethyl methanoate', '1,5-dichloropentane']",ethyl methanoate,Mole fraction,0.9215,10.1016/j.jct.2006.10.008
262,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.0314,"['ethyl methanoate', '1,5-dichloropentane']",ethyl methanoate,Mole fraction,0.9634,10.1016/j.jct.2006.10.008
263,"Mass density, kg/m3",1084.27,"['ethyl methanoate', '1,5-dichloropentane']",ethyl methanoate,Mole fraction,0.0955,10.1016/j.jct.2006.10.008
264,"Mass density, kg/m3",1074.48,"['ethyl methanoate', '1,5-dichloropentane']",ethyl methanoate,Mole fraction,0.1752,10.1016/j.jct.2006.10.008
265,"Mass density, kg/m3",1064.51,"['ethyl methanoate', '1,5-dichloropentane']",ethyl methanoate,Mole fraction,0.2534,10.1016/j.jct.2006.10.008
266,"Mass density, kg/m3",1054.28,"['ethyl methanoate', '1,5-dichloropentane']",ethyl methanoate,Mole fraction,0.3284,10.1016/j.jct.2006.10.008
267,"Mass density, kg/m3",1044.1,"['ethyl methanoate', '1,5-dichloropentane']",ethyl methanoate,Mole fraction,0.3985,10.1016/j.jct.2006.10.008
268,"Mass density, kg/m3",1034.31,"['ethyl methanoate', '1,5-dichloropentane']",ethyl methanoate,Mole fraction,0.4628,10.1016/j.jct.2006.10.008
269,"Mass density, kg/m3",1023.03,"['ethyl methanoate', '1,5-dichloropentane']",ethyl methanoate,Mole fraction,0.5327,10.1016/j.jct.2006.10.008
270,"Mass density, kg/m3",1013.34,"['ethyl methanoate', '1,5-dichloropentane']",ethyl methanoate,Mole fraction,0.5897,10.1016/j.jct.2006.10.008
271,"Mass density, kg/m3",1003.36,"['ethyl methanoate', '1,5-dichloropentane']",ethyl methanoate,Mole fraction,0.6456,10.1016/j.jct.2006.10.008
272,"Mass density, kg/m3",993.61,"['ethyl methanoate', '1,5-dichloropentane']",ethyl methanoate,Mole fraction,0.698,10.1016/j.jct.2006.10.008
273,"Mass density, kg/m3",983.9,"['ethyl methanoate', '1,5-dichloropentane']",ethyl methanoate,Mole fraction,0.7473,10.1016/j.jct.2006.10.008
274,"Mass density, kg/m3",974.37,"['ethyl methanoate', '1,5-dichloropentane']",ethyl methanoate,Mole fraction,0.7941,10.1016/j.jct.2006.10.008
275,"Mass density, kg/m3",964.52,"['ethyl methanoate', '1,5-dichloropentane']",ethyl methanoate,Mole fraction,0.8401,10.1016/j.jct.2006.10.008
276,"Mass density, kg/m3",954.89,"['ethyl methanoate', '1,5-dichloropentane']",ethyl methanoate,Mole fraction,0.8829,10.1016/j.jct.2006.10.008
277,"Mass density, kg/m3",945.49,"['ethyl methanoate', '1,5-dichloropentane']",ethyl methanoate,Mole fraction,0.9235,10.1016/j.jct.2006.10.008
278,"Mass density, kg/m3",936.01,"['ethyl methanoate', '1,5-dichloropentane']",ethyl methanoate,Mole fraction,0.9625,10.1016/j.jct.2006.10.008
279,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.1711,"['ethyl methanoate', '1,6-dichlorohexane']",ethyl methanoate,Mole fraction,0.102,10.1016/j.jct.2006.10.008
280,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.2978,"['ethyl methanoate', '1,6-dichlorohexane']",ethyl methanoate,Mole fraction,0.205,10.1016/j.jct.2006.10.008
281,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.3913,"['ethyl methanoate', '1,6-dichlorohexane']",ethyl methanoate,Mole fraction,0.2968,10.1016/j.jct.2006.10.008
282,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.4411,"['ethyl methanoate', '1,6-dichlorohexane']",ethyl methanoate,Mole fraction,0.3852,10.1016/j.jct.2006.10.008
283,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.4605,"['ethyl methanoate', '1,6-dichlorohexane']",ethyl methanoate,Mole fraction,0.4641,10.1016/j.jct.2006.10.008
284,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.4655,"['ethyl methanoate', '1,6-dichlorohexane']",ethyl methanoate,Mole fraction,0.5316,10.1016/j.jct.2006.10.008
285,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.4581,"['ethyl methanoate', '1,6-dichlorohexane']",ethyl methanoate,Mole fraction,0.5845,10.1016/j.jct.2006.10.008
286,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.4361,"['ethyl methanoate', '1,6-dichlorohexane']",ethyl methanoate,Mole fraction,0.6442,10.1016/j.jct.2006.10.008
287,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.406,"['ethyl methanoate', '1,6-dichlorohexane']",ethyl methanoate,Mole fraction,0.6907,10.1016/j.jct.2006.10.008
288,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.3651,"['ethyl methanoate', '1,6-dichlorohexane']",ethyl methanoate,Mole fraction,0.7399,10.1016/j.jct.2006.10.008
289,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.3061,"['ethyl methanoate', '1,6-dichlorohexane']",ethyl methanoate,Mole fraction,0.7869,10.1016/j.jct.2006.10.008
290,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.2503,"['ethyl methanoate', '1,6-dichlorohexane']",ethyl methanoate,Mole fraction,0.8348,10.1016/j.jct.2006.10.008
291,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.175,"['ethyl methanoate', '1,6-dichlorohexane']",ethyl methanoate,Mole fraction,0.8829,10.1016/j.jct.2006.10.008
292,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.1191,"['ethyl methanoate', '1,6-dichlorohexane']",ethyl methanoate,Mole fraction,0.9248,10.1016/j.jct.2006.10.008
293,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.0618,"['ethyl methanoate', '1,6-dichlorohexane']",ethyl methanoate,Mole fraction,0.9656,10.1016/j.jct.2006.10.008
294,"Mass density, kg/m3",1055.27,"['ethyl methanoate', '1,6-dichlorohexane']",ethyl methanoate,Mole fraction,0.0997,10.1016/j.jct.2006.10.008
295,"Mass density, kg/m3",1046.53,"['ethyl methanoate', '1,6-dichlorohexane']",ethyl methanoate,Mole fraction,0.196,10.1016/j.jct.2006.10.008
296,"Mass density, kg/m3",1038.19,"['ethyl methanoate', '1,6-dichlorohexane']",ethyl methanoate,Mole fraction,0.28,10.1016/j.jct.2006.10.008
297,"Mass density, kg/m3",1029.9,"['ethyl methanoate', '1,6-dichlorohexane']",ethyl methanoate,Mole fraction,0.3577,10.1016/j.jct.2006.10.008
298,"Mass density, kg/m3",1021.49,"['ethyl methanoate', '1,6-dichlorohexane']",ethyl methanoate,Mole fraction,0.4304,10.1016/j.jct.2006.10.008
299,"Mass density, kg/m3",1013.36,"['ethyl methanoate', '1,6-dichlorohexane']",ethyl methanoate,Mole fraction,0.4965,10.1016/j.jct.2006.10.008
300,"Mass density, kg/m3",1005.21,"['ethyl methanoate', '1,6-dichlorohexane']",ethyl methanoate,Mole fraction,0.558,10.1016/j.jct.2006.10.008
301,"Mass density, kg/m3",997.06,"['ethyl methanoate', '1,6-dichlorohexane']",ethyl methanoate,Mole fraction,0.6159,10.1016/j.jct.2006.10.008
302,"Mass density, kg/m3",988.91,"['ethyl methanoate', '1,6-dichlorohexane']",ethyl methanoate,Mole fraction,0.67,10.1016/j.jct.2006.10.008
303,"Mass density, kg/m3",980.91,"['ethyl methanoate', '1,6-dichlorohexane']",ethyl methanoate,Mole fraction,0.7203,10.1016/j.jct.2006.10.008
304,"Mass density, kg/m3",973.0,"['ethyl methanoate', '1,6-dichlorohexane']",ethyl methanoate,Mole fraction,0.7675,10.1016/j.jct.2006.10.008
305,"Mass density, kg/m3",965.17,"['ethyl methanoate', '1,6-dichlorohexane']",ethyl methanoate,Mole fraction,0.8114,10.1016/j.jct.2006.10.008
