,Property type,Value,Substances,Mole fraction compound,Mole fraction type,Mole fraction value,doi
2,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",1.14176,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.25,10.1021/je050052+
5,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",1.22702,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.3,10.1021/je050052+
8,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",1.28648,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.35,10.1021/je050052+
11,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",1.31803,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.4,10.1021/je050052+
14,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",1.32323,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.45,10.1021/je050052+
17,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",1.30973,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.5,10.1021/je050052+
20,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",1.26938,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.55,10.1021/je050052+
23,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",1.21359,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.6,10.1021/je050052+
26,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",1.14413,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.65,10.1021/je050052+
29,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",1.04923,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.7,10.1021/je050052+
32,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.9327,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.75,10.1021/je050052+
35,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.80773,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.8,10.1021/je050052+
38,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.31282,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.048,10.1021/je050052+
41,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.64397,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.1,10.1021/je050052+
44,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.88643,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.1492,10.1021/je050052+
47,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",1.09655,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.2014,10.1021/je050052+
