,Property type,Value,Substances,Mole fraction compound,Mole fraction type,Mole fraction value,doi
50,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",1.24523,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.2506,10.1021/je050052+
53,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",1.35497,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.302,10.1021/je050052+
56,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",1.42689,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.3503,10.1021/je050052+
59,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",1.46707,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.4001,10.1021/je050052+
62,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",1.47916,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.451,10.1021/je050052+
65,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",1.45255,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.4985,10.1021/je050052+
68,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",1.42653,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.5501,10.1021/je050052+
71,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",1.36184,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.6014,10.1021/je050052+
74,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",1.28586,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.6489,10.1021/je050052+
77,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",1.18781,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.6987,10.1021/je050052+
80,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",1.06261,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.7499,10.1021/je050052+
83,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.90459,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.7992,10.1021/je050052+
86,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.71074,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.851,10.1021/je050052+
89,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.23469,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.95,10.1021/je050052+
92,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.35583,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.0477,10.1021/je050052+
95,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.66117,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.0994,10.1021/je050052+
98,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.90155,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.1484,10.1021/je050052+
101,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",1.10318,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.2003,10.1021/je050052+
104,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",1.2424,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.2493,10.1021/je050052+
107,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",1.35111,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.3006,10.1021/je050052+
110,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",1.42392,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.3487,10.1021/je050052+
113,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",1.47216,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.3985,10.1021/je050052+
116,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",1.4835,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.4493,10.1021/je050052+
119,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",1.46287,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.5006,10.1021/je050052+
122,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",1.4244,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.5485,10.1021/je050052+
125,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",1.35846,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.5998,10.1021/je050052+
128,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",1.27717,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.6504,10.1021/je050052+
131,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",1.17778,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.7001,10.1021/je050052+
134,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",1.04961,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.7512,10.1021/je050052+
137,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.89924,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.8005,10.1021/je050052+
140,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.70735,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.8501,10.1021/je050052+
143,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.22341,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.9497,10.1021/je050052+
146,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.36893,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.0477,10.1021/je050052+
149,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.6783,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.0994,10.1021/je050052+
152,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.91558,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.1484,10.1021/je050052+
155,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",1.11269,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.2003,10.1021/je050052+
158,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",1.25066,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.2493,10.1021/je050052+
161,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",1.36046,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.3006,10.1021/je050052+
164,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",1.42926,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.3487,10.1021/je050052+
167,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",1.46929,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.3985,10.1021/je050052+
170,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",1.47966,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.4493,10.1021/je050052+
173,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",1.46829,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.5006,10.1021/je050052+
176,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",1.43231,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.5485,10.1021/je050052+
179,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",1.3746,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.5998,10.1021/je050052+
182,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",1.29205,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.6504,10.1021/je050052+
185,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",1.18918,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.7001,10.1021/je050052+
188,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",1.0504,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.7512,10.1021/je050052+
191,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.9028,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.8005,10.1021/je050052+
194,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.7249,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.8501,10.1021/je050052+
197,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.23487,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.9497,10.1021/je050052+
200,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.38373,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.05,10.1021/je050052+
203,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.72492,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.1,10.1021/je050052+
206,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.98279,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.15,10.1021/je050052+
209,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",1.19954,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.2,10.1021/je050052+
212,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",1.36547,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.25,10.1021/je050052+
215,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",1.48754,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.3,10.1021/je050052+
218,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",1.56902,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.35,10.1021/je050052+
221,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",1.6246,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.4,10.1021/je050052+
224,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",1.64605,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.45,10.1021/je050052+
227,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",1.62912,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.5,10.1021/je050052+
230,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",1.5882,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.55,10.1021/je050052+
233,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",1.522,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.6,10.1021/je050052+
236,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",1.42756,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.65,10.1021/je050052+
239,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",1.31343,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.7,10.1021/je050052+
242,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",1.16748,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.75,10.1021/je050052+
245,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.99717,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.8,10.1021/je050052+
248,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.78905,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.8509,10.1021/je050052+
251,"Excess molar enthalpy (molar enthalpy of mixing), kJ/mol",0.26167,"['methanol', 'dimethyl carbonate']",methanol,Mole fraction,0.95,10.1021/je050052+
