Group,Count,Dataset
Halogen Derivative | Primary Alcohol,3,Sage 2.3rc2
Alcohol | Alkyl Bromide,3,Sage 2.3rc2
Alkyl Bromide | Primary Alcohol,3,Sage 2.3rc2
Aromatic | Halogen Derivative,3,Sage 2.3rc2
Aromatic | Aryl Chloride,3,Sage 2.3rc2
Carbonyl | Secondary Aliphatic Amine,12,Sage 2.3rc2
Ketone | Secondary Aliphatic Amine,12,Sage 2.3rc2
Alkane | Dialkylether,15,Sage 2.3rc2
Alkane | Ether,15,Sage 2.3rc2
Aryl Chloride | Ether,6,Sage 2.3rc2
Aryl Chloride | Dialkylether,6,Sage 2.3rc2
Aryl Chloride | Heterocycle,9,Sage 2.3rc2
Alkyl Chloride | Carboxylic Acid Ester,15,Sage 2.3rc2
Alcohol | Tertiary Alcohol,3,Sage 2.3rc2
Hydroxy | Tertiary Alcohol,3,Sage 2.3rc2
Primary Alcohol | Tertiary Alcohol,3,Sage 2.3rc2
Aromatic | Secondary Mixed Amine,3,Sage 2.3rc2
Aromatic | Secondary Amine,3,Sage 2.3rc2
Aromatic | Nitrile,6,Sage 2.3rc2
Alkane | Hydroxy,15,Sage 2.3rc2
Alkane | Primary Alcohol,12,Sage 2.3rc2
Alcohol | Alkane,15,Sage 2.3rc2
Alkyl Chloride | Ether,9,Sage 2.3rc2
Alkyl Chloride | Dialkylether,9,Sage 2.3rc2
"1,2 Diol | Aqueous",3,Sage 2.3rc2
Carboxylic Acid Ester | Carboxylic Acid Ester,15,Sage 2.3rc2
Carboxylic Acid Derivative | Carboxylic Acid Ester,15,Sage 2.3rc2
Carboxylic Acid Derivative | Carboxylic Acid Derivative,15,Sage 2.3rc2
Alcohol | Nitrile,3,Sage 2.3rc2
Nitrile | Primary Alcohol,3,Sage 2.3rc2
Hydroxy | Nitrile,3,Sage 2.3rc2
Aromatic | Carboxylic Acid Ester,6,Sage 2.3rc2
Alkane | Secondary Mixed Amine,6,Sage 2.3rc2
Alkane | Secondary Amine,6,Sage 2.3rc2
Alkane | Amine,6,Sage 2.3rc2
Carboxylic Acid Amide | Primary Aliphatic Amine,6,Sage 2.3rc2
Carboxylic Acid Tertiary Amide | Primary Amine,6,Sage 2.3rc2
Carboxylic Acid Derivative | Primary Aliphatic Amine,6,Sage 2.3rc2
Carboxylic Acid Tertiary Amide | Primary Aliphatic Amine,6,Sage 2.3rc2
Carboxylic Acid Amide | Primary Amine,6,Sage 2.3rc2
Carboxylic Acid Derivative | Primary Amine,6,Sage 2.3rc2
Aqueous | Dialkylether,9,Sage 2.3rc2
Aqueous | Ether,9,Sage 2.3rc2
Alkane | Carboxylic Acid Ester,15,Sage 2.3rc2
Aromatic | Primary Aliphatic Amine,3,Sage 2.3rc2
"1,2 Aminoalcohol | Aromatic",3,Sage 2.3rc2
"1,2 Aminoalcohol | Heterocycle",3,Sage 2.3rc2
Heterocycle | Primary Aliphatic Amine,3,Sage 2.3rc2
"1,2 Aminoalcohol | Aqueous",6,Sage 2.3rc2
Aqueous | Heterocycle,15,Sage 2.3rc2
Aqueous | Carboxylic Acid Derivative,6,Sage 2.3rc2
Acetal | Aromatic,3,Sage 2.3rc2
Acetal | Halogen Derivative,3,Sage 2.3rc2
Acetal | Aryl Chloride,3,Sage 2.3rc2
Alkane | Secondary Alcohol,3,Sage 2.3rc2
Aqueous | Carboxylic Acid Ester,3,Sage 2.3rc2
Aqueous | Carbonyl,6,Sage 2.3rc2
Aqueous | Ketone,6,Sage 2.3rc2
Heterocycle | Tertiary Alcohol,3,Sage 2.3rc2
Carboxylic Acid Derivative | Tertiary Alcohol,3,Sage 2.3rc2
Carboxylic Acid Tertiary Amide | Heterocycle,3,Sage 2.3rc2
Heterocycle | Lactam,3,Sage 2.3rc2
Carboxylic Acid Amide | Heterocycle,3,Sage 2.3rc2
Carboxylic Acid Ester | Secondary Alcohol,3,Sage 2.3rc2
Carboxylic Acid Derivative | Secondary Alcohol,3,Sage 2.3rc2
Heterocycle | Tertiary Aliphatic Amine,3,Sage 2.3rc2
Heterocycle | Tertiary Amine,3,Sage 2.3rc2
Aromatic | Tertiary Aliphatic Amine,3,Sage 2.3rc2
Aromatic | Tertiary Amine,3,Sage 2.3rc2
Alcohol | Aldehyde,3,Sage 2.3rc2
Aldehyde | Hydroxy,3,Sage 2.3rc2
Aldehyde | Primary Alcohol,3,Sage 2.3rc2
Carbonyl | Carboxylic Acid Derivative,3,Sage 2.3rc2
Carbonyl | Lactam,3,Sage 2.3rc2
Carboxylic Acid Derivative | Ketone,3,Sage 2.3rc2
Carbonyl | Carboxylic Acid Tertiary Amide,3,Sage 2.3rc2
Carboxylic Acid Tertiary Amide | Ketone,3,Sage 2.3rc2
Carboxylic Acid Amide | Ketone,3,Sage 2.3rc2
Carbonyl | Carboxylic Acid Amide,3,Sage 2.3rc2
Ketone | Lactam,3,Sage 2.3rc2
